CustomerID,Churn,BaseCharges,DOC,TotalCharges,DOE,ElectronicBilling,ContractType,PaymentMethod,Retired,HasPartner,HasDependents,Education,Gender,DeviceProtection,HasPhoneService,InternetServiceCategory,MultipleLines,OnlineBackup,OnlineSecurity,StreamingMovies,StreamingTelevision,TechnicalSupport
Cust1201,No,478.5,05-01-2012,5920.0,10-Jan-11,No,One year,Electronic check,0,2,2,Masters,Male,7,1,3,4,4,4,7,7,4
Cust1202,No,103.25,05-01-2012,103.25,06-Dec-11,No,Month-to-month,Electronic check,0,2,2,ProfessionalQalification,Male,5,1,4,4,5,5,5,5,5
Cust1203,No,399.75,05-01-2012,5217.0,10-Jan-11,Yes,Month-to-month,Bank transfer (automatic),0,2,2,ProfessionalQalification,Male,4,1,3,4,4,4,7,4,4
Cust1204,No,324.75,05-01-2012,22757.5,06-Apr-06,No,One year,Bank transfer (automatic),0,2,1,ProfessionalQalification,Male,4,1,2,7,7,7,4,4,7
Cust1205,Yes,372.5,05-01-2012,372.5,06-Dec-11,Yes,Month-to-month,Electronic check,0,2,2,ProfessionalQalification,Female,4,1,3,7,4,4,4,4,4
Cust1206,No,99.5,05-01-2012,6775.5,07-Mar-06,Yes,Two year,Credit card (automatic),0,2,2,Highschool or below,Male,5,1,4,4,5,5,5,5,5
Cust1207,No,91.25,05-01-2012,2673.5,17-Sep-09,No,One year,Credit card (automatic),0,2,2,Graduation,Male,5,1,4,4,5,5,5,5,5
Cust1208,No,399.25,05-01-2012,23930.5,02-Mar-07,No,One year,Credit card (automatic),0,2,2,ProfessionalQalification,Female,7,1,2,7,7,7,7,4,7
Cust1209,No,399.0,05-01-2012,5006.0,10-Jan-11,Yes,Month-to-month,Electronic check,0,2,2,Highschool or below,Female,4,1,3,7,4,7,4,4,4
Cust1210,No,177.0,05-01-2012,7062.0,23-Aug-08,No,One year,Credit card (automatic),0,1,1,ProfessionalQalification,Female,7,0,2,6,4,7,4,4,4
Cust1211,No,120.0,05-01-2012,1132.75,11-Mar-11,Yes,Month-to-month,Electronic check,0,2,2,ProfessionalQalification,Male,5,1,4,7,5,5,5,5,5
Cust1212,No,99.0,05-01-2012,1364.75,12-Oct-10,No,Month-to-month,Mailed check,0,1,1,Graduation,Female,5,1,4,4,5,5,5,5,5
Cust1213,Yes,397.0,05-01-2012,1223.25,07-Oct-11,Yes,Month-to-month,Electronic check,0,2,2,ProfessionalQalification,Female,4,1,3,4,4,4,4,7,4
Cust1214,No,255.0,05-01-2012,1434.0,08-Aug-11,Yes,Month-to-month,Mailed check,0,2,1,Graduation,Female,4,1,2,4,4,4,4,4,7
Cust1215,No,251.75,05-01-2012,6387.5,16-Nov-09,Yes,Month-to-month,Credit card (automatic),0,2,2,ProfessionalQalification,Female,7,0,2,6,4,4,7,7,4
Cust1216,No,371.5,05-01-2012,20091.75,01-May-07,Yes,Month-to-month,Electronic check,0,1,1,Masters,Male,4,1,3,7,4,4,4,4,4
Cust1217,No,355.25,05-01-2012,10840.75,19-Jun-09,Yes,Month-to-month,Electronic check,0,2,2,Masters,Male,4,1,2,7,7,4,4,7,7
Cust1218,No,434.0,05-01-2012,9704.0,14-Feb-10,No,One year,Mailed check,0,1,1,Masters,Male,7,1,3,4,7,4,4,4,7
Cust1219,Yes,375.0,05-01-2012,1045.5,07-Oct-11,No,Month-to-month,Mailed check,0,2,2,Highschool or below,Male,4,1,3,7,4,4,4,4,4
Cust1220,No,384.75,05-01-2012,22719.75,31-Jan-07,No,Two year,Bank transfer (automatic),0,1,1,Masters,Male,4,1,2,4,7,4,7,7,7
Cust1221,No,424.5,05-01-2012,30326.5,05-Feb-06,Yes,Two year,Bank transfer (automatic),0,1,2,Masters,Female,7,1,2,7,4,7,7,7,7
Cust1222,Yes,472.0,05-01-2012,8087.5,13-Aug-10,Yes,Month-to-month,Electronic check,0,2,2,Highschool or below,Female,4,1,3,7,7,7,4,7,4
Cust1223,No,502.75,05-01-2012,35568.75,07-Mar-06,No,One year,Bank transfer (automatic),0,1,1,Highschool or below,Male,4,1,3,7,7,4,7,7,4
Cust1224,No,275.5,05-01-2012,7330.5,16-Dec-09,Yes,One year,Mailed check,0,1,1,Graduation,Male,4,1,2,7,4,4,4,4,7
Cust1225,No,128.0,05-01-2012,2744.0,16-Mar-10,No,One year,Bank transfer (automatic),1,1,2,Highschool or below,Female,5,1,4,7,5,5,5,5,5
Cust1226,Yes,371.0,05-01-2012,371.0,06-Dec-11,Yes,Month-to-month,Electronic check,1,2,2,Highschool or below,Female,4,1,3,7,4,4,4,4,4
Cust1227,No,432.75,05-01-2012,5334.5,10-Jan-11,Yes,Month-to-month,Electronic check,0,2,2,ProfessionalQalification,Female,4,1,3,7,4,4,7,4,4
Cust1228,No,100.75,05-01-2012,2284.25,15-Jan-10,No,One year,Mailed check,0,1,2,Graduation,Female,5,1,4,4,5,5,5,5,5
Cust1229,No,474.5,05-01-2012,23076.25,25-Feb-08,No,One year,Credit card (automatic),0,2,2,ProfessionalQalification,Female,7,1,3,7,4,7,4,7,4
Cust1230,No,278.5,05-01-2012,15858.0,01-May-07,No,Month-to-month,Electronic check,0,1,2,ProfessionalQalification,Male,4,1,2,4,4,7,4,4,7
Cust1231,Yes,249.5,05-01-2012,249.5,06-Dec-11,Yes,Month-to-month,Mailed check,0,2,1,ProfessionalQalification,Male,4,1,2,4,4,4,4,4,7
Cust1232,No,500.25,05-01-2012,26498.25,30-Jul-07,Yes,One year,Credit card (automatic),0,2,2,Masters,Female,4,1,3,4,7,7,7,7,4
Cust1233,No,95.75,05-01-2012,2506.75,17-Oct-09,No,One year,Mailed check,0,2,2,ProfessionalQalification,Female,5,1,4,4,5,5,5,5,5
Cust1234,No,421.25,05-01-2012,17696.25,24-Jun-08,Yes,One year,Bank transfer (automatic),0,1,2,Graduation,Male,7,1,3,4,4,7,4,4,7
Cust1235,Yes,220.75,05-01-2012,220.75,06-Dec-11,Yes,Month-to-month,Mailed check,0,2,2,Highschool or below,Male,4,1,2,4,4,4,4,4,4
Cust1236,No,526.0,05-01-2012,31127.0,01-Apr-07,Yes,One year,Credit card (automatic),0,1,1,Masters,Female,7,1,3,7,7,4,7,7,4
Cust1237,Yes,129.0,05-01-2012,129.0,06-Dec-11,Yes,Month-to-month,Mailed check,1,2,2,Highschool or below,Female,4,0,2,6,4,4,4,4,4
Cust1238,No,97.75,05-01-2012,5544.0,01-Apr-07,Yes,One year,Electronic check,0,1,1,ProfessionalQalification,Male,5,1,4,4,5,5,5,5,5
Cust1239,No,407.5,05-01-2012,27766.25,06-May-06,Yes,Two year,Credit card (automatic),0,2,2,Masters,Male,7,1,2,7,7,7,7,4,7
Cust1240,Yes,426.5,05-01-2012,14587.5,19-Feb-09,No,Month-to-month,Credit card (automatic),0,2,2,Graduation,Female,4,1,3,7,7,4,4,4,7
Cust1241,No,177.5,05-01-2012,2161.25,10-Jan-11,No,Month-to-month,Mailed check,0,1,1,Masters,Male,4,0,2,6,7,4,4,4,7
Cust1242,No,132.25,05-01-2012,5550.25,24-Jun-08,No,Two year,Bank transfer (automatic),0,2,2,Graduation,Male,5,1,4,7,5,5,5,5,5
Cust1243,No,100.0,05-01-2012,993.5,11-Mar-11,No,Month-to-month,Credit card (automatic),0,2,2,Graduation,Male,5,1,4,4,5,5,5,5,5
Cust1244,No,251.0,05-01-2012,9076.5,21-Mar-09,No,Month-to-month,Bank transfer (automatic),0,1,2,Masters,Female,4,1,2,4,4,4,4,4,7
Cust1245,Yes,96.25,05-01-2012,561.5,09-Jun-11,No,Month-to-month,Electronic check,0,2,2,Graduation,Male,5,1,4,4,5,5,5,5,5
Cust1246,No,450.25,05-01-2012,13136.0,19-Jul-09,Yes,Month-to-month,Electronic check,1,1,2,Graduation,Female,4,1,3,7,7,4,4,7,4
Cust1247,Yes,437.25,05-01-2012,14370.75,21-Mar-09,No,Month-to-month,Electronic check,0,1,1,ProfessionalQalification,Female,7,1,3,7,4,4,4,7,4
Cust1248,No,96.75,05-01-2012,3418.75,21-Dec-08,No,Month-to-month,Electronic check,0,1,1,Masters,Female,5,1,4,4,5,5,5,5,5
Cust1249,No,521.0,05-01-2012,16217.25,19-Jun-09,Yes,Month-to-month,Electronic check,0,1,1,Graduation,Female,7,1,3,7,4,4,7,7,7
Cust1250,No,272.0,05-01-2012,7583.0,17-Sep-09,Yes,One year,Credit card (automatic),0,2,1,Graduation,Male,4,1,2,4,7,4,4,4,7
Cust1251,No,165.75,05-01-2012,2223.75,10-Jan-11,No,One year,Credit card (automatic),0,1,1,Masters,Female,4,0,2,6,4,7,4,4,7
Cust1252,Yes,410.25,05-01-2012,20149.75,26-Jan-08,Yes,One year,Mailed check,0,1,1,ProfessionalQalification,Female,4,1,3,7,4,4,7,4,4
Cust1253,No,99.5,05-01-2012,769.75,10-May-11,No,One year,Credit card (automatic),0,1,1,Graduation,Male,5,1,4,4,5,5,5,5,5
Cust1254,No,421.75,05-01-2012,3048.25,09-Jun-11,Yes,Month-to-month,Electronic check,1,2,2,Graduation,Female,7,1,3,4,4,4,4,7,4
Cust1255,No,332.0,05-01-2012,4158.75,11-Dec-10,No,Month-to-month,Credit card (automatic),0,2,1,ProfessionalQalification,Male,4,1,2,4,4,4,7,7,4
Cust1256,No,500.5,05-01-2012,21891.75,25-May-08,No,Two year,Bank transfer (automatic),0,2,2,Highschool or below,Male,7,1,3,4,4,4,7,7,7
Cust1257,No,456.75,05-01-2012,33486.0,05-Feb-06,Yes,Two year,Bank transfer (automatic),0,2,2,ProfessionalQalification,Female,7,1,2,7,7,7,7,7,7
Cust1258,Yes,431.0,05-01-2012,6351.0,12-Oct-10,No,Month-to-month,Electronic check,0,2,2,Masters,Female,4,1,3,4,4,7,4,7,4
Cust1259,Yes,99.25,05-01-2012,179.5,06-Nov-11,No,One year,Mailed check,0,1,1,Graduation,Male,5,1,4,4,5,5,5,5,5
Cust1260,No,427.25,05-01-2012,30149.5,07-Mar-06,No,Two year,Bank transfer (automatic),0,1,1,Masters,Male,7,1,2,4,7,7,7,7,7
Cust1261,No,477.5,05-01-2012,30769.25,03-Sep-06,Yes,One year,Electronic check,0,2,2,Graduation,Female,7,1,3,7,7,4,4,7,4
Cust1262,No,402.25,05-01-2012,28688.0,05-Feb-06,No,Two year,Bank transfer (automatic),0,1,2,Masters,Female,4,1,3,7,4,7,4,4,4
Cust1263,No,392.25,05-01-2012,28411.25,05-Feb-06,No,Two year,Bank transfer (automatic),1,1,2,Masters,Female,7,1,2,7,7,7,7,4,7
Cust1264,Yes,351.25,05-01-2012,351.25,06-Dec-11,Yes,Month-to-month,Electronic check,0,2,2,Highschool or below,Female,4,1,3,4,4,4,4,4,4
Cust1265,No,102.5,05-01-2012,2147.75,15-Apr-10,No,One year,Bank transfer (automatic),1,2,2,Highschool or below,Male,5,1,4,4,5,5,5,5,5
Cust1266,No,482.0,05-01-2012,24555.25,28-Oct-07,Yes,One year,Credit card (automatic),0,1,2,Graduation,Male,4,1,3,7,7,7,7,4,4
Cust1267,Yes,276.25,05-01-2012,10696.0,22-Sep-08,Yes,Month-to-month,Mailed check,0,2,1,Graduation,Male,4,1,2,4,7,7,4,4,4
Cust1268,Yes,432.5,05-01-2012,9043.5,15-Apr-10,Yes,Month-to-month,Electronic check,0,1,2,Highschool or below,Female,4,1,3,7,4,4,7,4,4
Cust1269,Yes,353.5,05-01-2012,758.25,06-Nov-11,Yes,Month-to-month,Electronic check,0,2,2,ProfessionalQalification,Female,4,1,3,4,4,4,4,4,4
Cust1270,No,400.25,05-01-2012,15095.5,21-Dec-08,No,One year,Electronic check,0,2,2,Graduation,Female,7,1,3,4,7,4,4,4,4
Cust1271,No,128.75,05-01-2012,4412.75,19-Feb-09,Yes,Month-to-month,Electronic check,0,1,1,Highschool or below,Female,5,1,4,7,5,5,5,5,5
Cust1272,No,409.0,05-01-2012,22672.25,31-May-07,Yes,Two year,Credit card (automatic),0,2,2,Highschool or below,Male,7,1,2,4,7,4,7,7,7
Cust1273,No,94.25,05-01-2012,4336.5,25-Apr-08,No,One year,Bank transfer (automatic),0,2,2,ProfessionalQalification,Male,5,1,4,4,5,5,5,5,5
Cust1274,No,298.25,05-01-2012,3416.25,09-Feb-11,Yes,Month-to-month,Bank transfer (automatic),0,1,1,Graduation,Male,7,1,2,4,4,4,4,7,4
Cust1275,Yes,173.5,05-01-2012,173.5,06-Dec-11,Yes,Month-to-month,Electronic check,0,2,2,Highschool or below,Female,4,0,2,6,4,4,4,7,4
